tool	yearPublished	journal	impactFactor(2017)	Journal H5-index(2017)	totalCitations(2017)	totalCitations(2020)	H-index: (Corresponding author)(2017)	M-index (Corresponding author)(2017)	H (2020)	M (2020)	Versions	Commits (Github)	Contributers (Github)	Github repo	fullCite	
metasv	2015	Bioinformatics	NA	NA	NA	90	NA		Hugo Lam:30	2.14	1.54	740	6	https://github.com/bioinform/metasv	Mohiyuddin M, Mu JC, Li J, Bani Asadi N, Gerstein MB, Abyzov A, Wong WH, Lam HY. MetaSV: an accurate and integrative structural-variant caller for next generation sequencing. Bioinformatics. 2015 Aug 15;31(16):2741-4.	
methylkit	2012	Genome Biology	10.800	83	130	741	Altuna Akalin:18; Christopher Mason:30	Altuna Akalin:1.8; Christopher Mason:2.73	Altuna Akalin:25; Christopher Mason:59	1.79; 3.28	1.992	996	14	https://github.com/al2na/methylKit	Akalin, A., Kormaksson, M., Li, S., Garrett-Bakelman, F. E., Figueroa, M. E., Melnick, A., & Mason, C. E. (2012). methylKit: a comprehensive R package for the analysis of genome-wide DNA methylation profiles. Genome Biol, 13(10), R87.	
methylsig	2014	Bioinformatics	4.981	106	23	138	NA	NA	NA	NA	1.994	164	3	https://github.com/sartorlab/methylSig	Park, Y., Figueroa, M. E., Rozek, L. S., & Sartor, M. A. (2014). MethylSig: a whole genome DNA methylation analysis pipeline. Bioinformatics, btu339.	
mfa	2017	Wellcome open research	NA	NA	NA	21	NA		Christopher Yau:26	1.86	1	38	2	https://github.com/kieranrcampbell/mfa	Campbell KR, Yau C. Probabilistic modeling of bifurcations in single-cell gene expression data using a Bayesian mixture of factor analyzers. Wellcome open research. 2017;2.	
mgrast	2008	BMC bioinformatics	2.576	74	1239	3051	Folker Meyer:45	Folker Meyer:3.75	Folker Meyer:62	2.58	1.23	4821	10	https://github.com/MG-RAST/MG-RAST	Meyer, Folker, Daniel Paarmann, Mark D'Souza, Robert Olson, Elizabeth M. Glass, Michael Kubal, Tobias Paczian et al. "The metagenomics RAST server–a public resource for the automatic phylogenetic and functional analysis of metagenomes." BMC bioinformatics 9, no. 1 (2008): 386.	
minia	2013	Algorithms for molecular biology	1.463	19	85	241	Rayan Chikhi:12	Rayan Chikhi:1.71	Rayan Chikhi:22	1.69	3.24	247	5	https://github.com/GATB/minia	Chikhi, R., & Rizk, G. (2013). Space-efficient and exact de Bruijn graph representation based on a Bloom filter. Algorithms for Molecular Biology, 8(22), 1.	
miniasmminipolish	2019	F1000Research	NA	NA	NA	12	NA		Ryan Wick:21	4.20	1.13	25	1	https://github.com/rrwick/Minipolish	Wick RR, Holt KE. Benchmarking of long-read assemblers for prokaryote whole genome sequencing. F1000Research. 2019;8.	
mira	2004	Genome research	14.630	107	554	1051	Bastien Chevreux:9	Bastien Chevreux:0.9	Bastien Chevreux:11	0.48	NA	NA	NA	NA	Chevreux, Bastien, Thomas Pfisterer, Bernd Drescher, Albert J. Driesel, Werner EG Müller, Thomas Wetter, and Sándor Suhai. "Using the miraEST assembler for reliable and automated mRNA transcript assembly and SNP detection in sequenced ESTs." Genome research 14, no. 6 (2004): 1147-1159.	
mirdeep	2008	Nature biotechnology	41.514	141	630	1048	Nikolaus Rajewsky:48	Nikolaus Rajewsky:3	Nikolaus Rajewsky:73	2.21	2.13	77	2	https://github.com/rajewsky-lab/mirdeep2	Friedländer, M. R., Chen, W., Adamidi, C., Maaskola, J., Einspanier, R., Knespel, S., & Rajewsky, N. (2008). Discovering microRNAs from deep sequencing data using miRDeep. Nature biotechnology, 26(4), 407-415.	
mireap	2009	Genome Biology	10.800	83	110	154	NA	NA	Chen-Yu Zhang:87	3.00	1	8	1	https://github.com/liqb/mireap	Chen, X., Li, Q., Wang, J., Guo, X., Jiang, X., Ren, Z., ... & Ma, L. (2009). Identification and characterization of novel amphioxus microRNAs by Solexa sequencing. Genome Biol, 10(7), R78.	
mirena	2010	Bioinformatics	4.981	106	82	149	NA	NA	NA	NA	NA	NA	NA	NA	Mathelier, A., & Carbone, A. (2010). MIReNA: finding microRNAs with high accuracy and no learning at genome scale and from deep sequencing data. Bioinformatics, 26(18), 2226-2234.	
mirexpress	2009	BMC bioinformatics	2.576	74	108	187	NA	NA	NA	NA	NA	NA	NA	NA	Wang, W. C., Lin, F. M., Chang, W. C., Lin, K. Y., Huang, H. D., & Lin, N. S. (2009). miRExpress: analyzing high-throughput sequencing data for profiling microRNA expression. BMC bioinformatics, 10(1), 1.	
mlclustalw	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
mlclustalwquicktree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
mlmafft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
mlmafftparttree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
mlmuscle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
mlopal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
mlprankgt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
mmdb	2016	Cell Reports	NA	NA	NA	52	NA		Hiroki R. Ueda:46	2.09	1	2	2	https://github.com/bmds-lab/mm10db	Sunagawa GA, Sumiyama K, Ukai-Tadenuma M, Perrin D, Fujishima H, Ukai H, et al. Mammalian reverse genetics without crossing reveals Nr3a as a short-sleeper gene. Cell Reports. 2016;14(3):662–677. pmid:26774482	
mmdresnet	2017	Bioinformatics	NA	NA	NA	75	NA		Yuval Kluger:58	1.87	1	145	2	https://github.com/ushaham/BatchEffectRemoval	Shaham U, Stanton KP, Zhao J, Li H, Raddassi K, Montgomery R, Kluger Y. Removal of batch effects using distribution-matching residual networks. Bioinformatics. 2017 Aug 15;33(16):2539-46.	
mnncorrect	2018	Nature biotechnology	NA	NA	NA	521	NA		John Marioni:64	4.00	1	86	1	https://github.com/MarioniLab/FurtherMNN2018	Haghverdi L, Lun AT, Morgan MD, Marioni JC. Batch effects in single-cell RNA-sequencing data are corrected by matching mutual nearest neighbors. Nature biotechnology. 2018 May;36(5):421-7.	
modellerv	1993	Journal of molecular biology	‎4.333	62	8074	12193	Andrej Sali:96	Andrej Sali:4.57	Andrej Sali:122	2.90	NA	NA	NA	NA	Šali, A., & Blundell, T. L. (1993). Comparative protein modelling by satisfaction of spatial restraints. Journal of molecular biology, 234(3), 779-815.	
monocle2	2017	Nature methods				422			Cole Trapnell:51	3.92	3	1048	12	https://github.com/cole-trapnell-lab/monocle-release	Qiu X, Hill A, Packer J, Lin D, Ma YA, Trapnell C. Single-cell mRNA quantification and differential analysis with Census. Nature methods. 2017 Mar;14(3):309-15.	
monocleddrtree	2017	Nature methods	NA	NA	NA	688	NA		Cole Trapnell:51	3.92	3	1048	12	https://github.com/cole-trapnell-lab/monocle-release	Qiu X, Mao Q, Tang Y, Wang L, Chawla R, Pliner HA, Trapnell C. Reversed graph embedding resolves complex single-cell trajectories. Nature methods. 2017 Oct;14(10):979.	
monocleica	2017	Nature methods	NA	NA	NA	688	NA		Cole Trapnell:51	3.92	3	1048	12	https://github.com/cole-trapnell-lab/monocle-release	Qiu X, Mao Q, Tang Y, Wang L, Chawla R, Pliner HA, Trapnell C. Reversed graph embedding resolves complex single-cell trajectories. Nature methods. 2017 Oct;14(10):979.	
mosaik	2014	PloS one	3.234	161	54	266	Wan-Ping Lee:12	Wan-Ping Lee:1.71	Wan-Ping Lee:15	1.00	1	488	1	https://github.com/wanpinglee/MOSAIK	Lee, W. P., Stromberg, M. P., Ward, A., Stewart, C., Garrison, E. P., & Marth, G. T. (2014). MOSAIK: a hash-based algorithm for accurate next-generation sequencing short-read mapping. PloS one, 9(3), e90581.	
mothur	2009	Applied and environmental microbiology	NA	NA	NA	13895	NA		Patrick D. Schloss:61	3.05	1.443	3035	14	https://github.com/mothur/mothur	Schloss PD, Westcott SL, Ryabin T, Hall JR, Hartmann M, Hollister EB, Lesniewski RA, Oakley BB, Parks DH, Robinson CJ, Sahl JW. Introducing mothur: open-source, platform-independent, community-supported software for describing and comparing microbial communities. Applied and environmental microbiology. 2009 Dec 1;75(23):7537-41.	
motu	2013	Nature methods	32.072	125	62	325	Peer Bork:158	Peer Bork:7.9	Peer Bork:205	6.61	1	NA	NA	NA	Sunagawa, Shinichi, Daniel R. Mende, Georg Zeller, Fernando Izquierdo-Carrasco, Simon A. Berger, Jens Roat Kultima, Luis Pedro Coelho et al. "Metagenomic species profiling using universal phylogenetic marker genes." Nature methods 10, no. 12 (2013): 1196-1199.	
mpath	2016	Nature communications	NA	NA	NA	56	NA		Jinmiao Chen:36	1.33	1	3	1	https://github.com/JinmiaoChenLab/Mpath	Chen J, Schlitzer A, Chakarov S, Ginhoux F, Poidinger M. Mpath maps multi-branching single-cell trajectories revealing progenitor cell progression during development. Nature communications. 2016 Jun 30;7(1):1-5.	
mpest	2010	BMC evolutionary biology	3.368	52	135	452	liang liu:20	liang liu:2.5	liang liu:32	2.13	1	NA	NA	NA	Liu, L., Yu, L., & Edwards, S. V. (2010). A maximum pseudo-likelihood approach for estimating species trees under the coalescent model. BMC evolutionary biology, 10(1), 302.	
mpjclustalw	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
mpsclustalw	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
mrfast	2009	Nature genetics	29.300	182	449	783	Evan Eichler:123	Evan Eichler:7.2	Evan Eichler:166	4.49	2.61	20	2	https://github.com/BilkentCompGen/mrfast	Alkan, Can, et al. "Personalized copy number and segmental duplication maps using next-generation sequencing." Nature genetics 41.10 (2009): 1061-1067.	
mrpml	1992;1992	Molecular phylogenetics and evolution; Taxon	3.916; 3.299	51; 29	391;465	508; 587	Mark A. Ragan:46	Mark A. Ragan:1.31	Mark A. Ragan:61	1.36	1	NA	NA	NA	Ragan, Mark A. "Phylogenetic inference based on matrix representation of trees." Molecular phylogenetics and evolution 1, no. 1 (1992): 53-58; Baum, Bernard R. "Combining trees as a way of combining data sets for phylogenetic inference, and the desirability of combining gene trees." Taxon (1992): 3-10.	
mrpmp	1992;1992	Molecular phylogenetics and evolution; Taxon	3.916; 3.299	51; 29	391;465	508; 587	Mark A. Ragan:46	Mark A. Ragan:1.31	Mark A. Ragan:61	1.36	1	NA	NA	NA	Ragan, Mark A. "Phylogenetic inference based on matrix representation of trees." Molecular phylogenetics and evolution 1, no. 1 (1992): 53-58; Baum, Bernard R. "Combining trees as a way of combining data sets for phylogenetic inference, and the desirability of combining gene trees." Taxon (1992): 3-10.	
mrsfast	2010	Nature methods	32.072	125	162	292	Cenk Sahinalp:35	Cenk Sahinalp:2.33	Cenk Sahinalp:51	1.96	3.42	175	6	https://github.com/sfu-compbio/mrsfast	Hach, F., Hormozdiari, F., Alkan, C., Hormozdiari, F., Birol, I., Eichler, E. E., & Sahinalp, S. C. (2010). mrsFAST: a cache-oblivious algorithm for short-read mapping. Nature Methods, 7(8), 576–7. doi:10.1038/nmeth0810-576	
msinspect	2006	Bioinformatics	4.981	106	239	294	NA	NA	NA	NA	1	409	1	https://github.com/dhmay/msInspect	Bellew, M., Coram, M., Fitzgibbon, M., Igra, M., Randolph, T., Wang, P., ... & McIntosh, M. (2006). A suite of algorithms for the comprehensive analysis of complex protein mixtures using high-resolution LC-MS. Bioinformatics, 22(15), 1902-1909.	
mst	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	
multalin	1988	Nucleic acids research	9.112	172	3983	5501	NA	NA	NA	NA	1	NA	NA	NA	Corpet, F. (1988). Multiple sequence alignment with hierarchical clustering. Nucleic acids research, 16(22), 10881-10890.	
multinomiallrt	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA		
muscle	2004	BMC bioinformatics	2.576	74	3080	6239	Robert C. Edgar:23	Robert C. Edgar:2.3	Robert C. Edgar:38	2.11	3.831	NA	NA	NA	Edgar, Robert C. "MUSCLE: a multiple sequence alignment method with reduced time and space complexity." BMC bioinformatics 5, no. 1 (2004): 113.	
musclemaxiters	2004	BMC bioinformatics	2.576	74	3080	6239	Robert C. Edgar:23	Robert C. Edgar:2.3	Robert C. Edgar:38	2.11	NA	NA	NA	NA	Edgar, Robert C. "MUSCLE: a multiple sequence alignment method with reduced time and space complexity." BMC bioinformatics 5, no. 1 (2004): 113.	
musket	2013	Bioinformatics	NA	NA	NA	227	NA		Bertil Schmidt:40	1.60	1.06	NA	NA	NA	Liu Y, Schröder J, Schmidt B. Musket: a multistage k-mer spectrum-based error corrector for Illumina sequence data. Bioinformatics. 2013 Feb 1;29(3):308-15.	
mzmine	2006	Bioinformatics	4.981	106	439	715	Matej Orešič:56	Matej Orešič:5.09	Matej Orešič:78	2.89	2.53	5651	29	https://github.com/mzmine/mzmine2	Katajamaa, M., Miettinen, J., & Orešič, M. (2006). MZmine: toolbox for processing and visualization of mass spectrometry based molecular profile data. Bioinformatics, 22(5), 634-636.	
nanocorr	2015	Genome research	NA	NA	NA	309	NA		W. Richard McCombie:92	2.42	1	13	1	https://github.com/jgurtowski/Nanocorr	Goodwin S, Gurtowski J, Ethe-Sayers S, Deshpande P, Schatz MC, McCombie WR. Oxford Nanopore sequencing, hybrid error correction, and de novo assembly of a eukaryotic genome. Genome Res. 2015;25:1750–6.	
nbc	2008; 2011	Advances in bioinformatics; Bioinformatics	4.981	106	54; 92	106; 207	Gail Rosen:13	Gail Rosen:1.08	Gail Rosen:23	1.00	1	NA	NA	NA	Rosen, G., Garbarine, E., Caseiro, D., Polikar, R., & Sokhansanj, B. (2008). Metagenome Fragment Classification Using 𝑁-Mer Frequency Profiles. Advances in bioinformatics, 2008.; Rosen, G. L., Reichenberger, E. R., & Rosenfeld, A. M. (2011). NBC: the Naive Bayes Classification tool webserver for taxonomic classification of metagenomic reads. Bioinformatics, 27(1), 127-129.	
ncbiblast	1990	Journal of molecular biology	‎4.333	62	56158	86880	Stephen Altschul:46	Stephen Altschul:2	Stephen Altschul:48	1.37	2.1	NA	NA	NA	Altschul, Stephen F., Warren Gish, Webb Miller, Eugene W. Myers, and David J. Lipman. "Basic local alignment search tool." Journal of molecular biology" 215, no. 3 (1990): 403-410.	
necat	2020	bioRxiv	NA	NA	NA	3	NA		Feng Luo:28	1.08	1.01	11	2	https://github.com/xiaochuanle/NECAT	Chen Y, Nie F, Xie SQ, Zheng YF, Bray T, Dai Q, Wang YX, Xing JF, Huang ZJ, Wang DP, He LJ. Fast and accurate assembly of Nanopore reads via progressive error correction and adaptive read selection. bioRxiv. 2020 Jan 1.	
nest	2003	Proteins: Structure, Function, and Bioinformatics	NA	45	298	354	NA	NA	Barry Honig:124	2.21	1	NA	NA	NA	Petrey, D., Xiang, Z., Tang, C. L., Xie, L., Gimpelev, M., Mitros, T., ... & Honig, B. (2003). Using multiple structure alignments, fast model building, and energetic analysis in fold recognition and homology modeling. Proteins: Structure, Function, and Bioinformatics, 53(S6), 430-435.	
newbler	2005	Nature	41.456	377	6213	9165	NA	NA	NA	NA	1	NA	NA	NA	Margulies, Marcel, Michael Egholm, William E. Altman, Said Attiya, Joel S. Bader, Lisa A. Bemben, Jan Berka et al. "Genome sequencing in microfabricated high-density picolitre reactors." Nature 437, no. 7057 (2005): 376-380.	
nextgenmap	2013	Bioinformatics	NA	NA	NA	243	NA		Fritz J Sedlazeck:25	3.13	1.55	459	6	https://github.com/Cibiv/NextGenMap	Sedlazeck FJ, Rescheneder P, Von Haeseler A. NextGenMap: fast and accurate read mapping in highly polymorphic genomes. Bioinformatics. 2013 Nov 1;29(21):2790-1.	
nfuse	2012	Genome research	14.630	107	34	79	Cenk Sahinalp:35	Cenk Sahinalp:2.33	Cenk Sahinalp:51	1.96	1	NA	NA	NA	McPherson, A., Wu, C., Wyatt, A. W., Shah, S., Collins, C., & Sahinalp, S. C. (2012). nFuse: discovery of complex genomic rearrangements in cancer using high-throughput sequencing. Genome research.	
novoalign	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	http://www.novocraft.com/	
ntcard	2017	Bioinformatics	NA	NA	NA	37	NA		Inanc Birol:57        	2.19	1.22	118	6	https://github.com/bcgsc/ntCard	Mohamadi H, Khan H, Birol I. ntCard: a streaming algorithm for cardinality estimation in genomics data. Bioinformatics. 2017 May 1;33(9):1324-30.	
oases	2012	Bioinformatics	4.981	106	518	1340	Daniel R. Zerbino:16	Daniel R. Zerbino:2	Daniel R. Zerbino:34	2.13	1	114	3	https://github.com/dzerbino/oases	Schulz, Marcel H., et al. "Oases: robust de novo RNA-seq assembly across the dynamic range of expression levels." Bioinformatics 28.8 (2012): 1086-1092.	
olego	2013	Nucleic acids research	NA	NA	NA	117	NA		Chaolin Zhang:35	2.50	1.15	72	1	https://github.com/chaolinzhanglab/olego	Wu J, Anczukow O, Krainer AR, Zhang MQ, Zhang C. OLego: fast and sensitive mapping of spliced mRNA-Seq reads using small seeds. Nucleic acids research. 2013 May 1;41(10):5149-63.	
oncosnpseq	2013	Bioinformatics	NA	NA	NA	52	NA		Christopher Yau:26	1.86	1	59	2	https://github.com/cwcyau/oncosnpseq	Yau C. OncoSNP-SEQ: a statistical approach for the identification of somatic copy number alterations from next-generation sequencing of cancer genomes. Bioinformatics. 2013 Oct 1;29(19):2482-4.	
onecodex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.93	437	14	https://github.com/onecodex/onecodex	https://www.onecodex.com/	
openms	2008	BMC bioinformatics	2.576	74	329	880	NA	NA	NA	NA	2.5	26280	69	https://github.com/OpenMS/OpenMS	Sturm, Marc, et al. "OpenMS–an open-source software framework for mass spectrometry." BMC bioinformatics 9.1 (2008): 163.	
ouija	2019	Bioinformatics	NA	NA	NA	12	NA		Christopher Yau:26	1.86	1	120	1	https://github.com/kieranrcampbell/ouija	Campbell KR, Yau C. A descriptive marker gene approach to single-cell pseudotime inference. Bioinformatics. 2019 Jan 1;35(1):28-35.	
ouijaflow	2019	Bioinformatics	NA	NA	NA	12	NA		Christopher Yau:26	1.86	1	120	1	https://github.com/kieranrcampbell/ouija	Campbell KR, Yau C. A descriptive marker gene approach to single-cell pseudotime inference. Bioinformatics. 2019 Jan 1;35(1):28-35.	
pacbiotoca	2012	Nature Biotechnology	NA	NA	NA	917	NA		Adam M. Phillippy:45	2.50	8.3	NA	NA	NA	Koren S, Schatz MC, Walenz BP, Martin J, Howard JT, Ganapathy G, Wang Z, Rasko DA, McCombie WR, Jarvis ED, Phillippy AM. Hybrid error correction and de novo assembly of single-molecule sequencing reads. Nat Biotechnol. 2012;30:692.	
paga	2019	Genome biology	NA	NA	NA	146	NA		Fabian J Theis:77	4.05	1	23	1	https://github.com/theislab/paga	Wolf FA, Hamey FK, Plass M, Solana J, Dahlin JS, Göttgens B, Rajewsky N, Simon L, Theis FJ. PAGA: graph abstraction reconciles clustering with trajectory inference through a topology preserving map of single cells. Genome biology. 2019 Dec;20(1):1-9.	
pagatree	2019	Genome biology	NA	NA	NA	146	NA		Fabian J Theis:77	4.05	1	23	1	https://github.com/theislab/paga	Wolf FA, Hamey FK, Plass M, Solana J, Dahlin JS, Göttgens B, Rajewsky N, Simon L, Theis FJ. PAGA: graph abstraction reconciles clustering with trajectory inference through a topology preserving map of single cells. Genome biology. 2019 Dec;20(1):1-9.	
pairfold	2005	Journal of molecular biology	‎4.333	62	92	150	Anne Condon:39	Anne Condon:1.56	Anne Condon:45	1.32	1	NA	NA	NA	Mirela Andronescu, Zhi Chuan Zhang , Anne Condon RNAsoft: a suite of RNA secondary structure prediction and design software tools. Nucleic Acids Research, 31(13), 3416–3422. doi:10.1093/nar/gkg612	
paralign	2001; 2005	Nucleic acids research; Nucleic acids research	9.112	172	66; 45	84; 51	Torbjørn Rognes:21	Torbjørn Rognes:1.24	Torbjørn Rognes:31	1.35	1	NA	NA	NA	Rognes, T. (2001). ParAlign: a parallel sequence alignment algorithm for rapid and sensitive database searches. Nucleic acids research, 29(7), 1647-1652.; Sæbø, P. E., Andersen, S. M., Myrseth, J., Laerdahl, J. K., & Rognes, T. (2005). PARALIGN: rapid and sensitive sequence similarity searches powered by parallel computing technology. Nucleic acids research, 33(suppl 2), W535-W539.	
pass	2009	Bioinformatics	4.981	106	109	157	Giorgio Valle:44	Giorgio Valle:4.8	Giorgio Valle:53	1.36	NA	NA	NA	NA	Campagna, Davide, et al. "PASS: a program to align short sequences." Bioinformatics 25.7 (2009): 967-968.	
pbhoneyngm	2014	BMC bioinformatics	NA	NA	NA	106	NA		Adam English:13	1.30	1	NA	NA	NA	English AC, Salerno WJ, Reid JG. PBHoney: identifying genomic variants via long-read discordance and interrupted mapping. BMC bioinformatics. 2014 Dec 1;15(1):180.	
pbsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4	29	3	https://github.com/PacificBiosciences/pbsv	NA	
pcrelate	2016	The American Journal of Human Genetics	NA	NA	NA	151	NA		Timothy A. Thornton:30	2.73	1	NA	NA	NA	Conomos MP, Reiner AP, Weir BS, Thornton TA. Model-free estimation of recent genetic relatedness. The American Journal of Human Genetics. 2016 Jan 7;98(1):127-48.	
pcreode	2018	Cell systems	NA	NA	NA	81	NA		Ken Lau:18	1.00	1	103	3	https://github.com/KenLauLab/pCreode	Herring CA, Banerjee A, McKinley ET, Simmons AJ, Ping J, Roland JT, Franklin JL, Liu Q, Gerdes MJ, Coffey RJ, Lau KS. Unsupervised trajectory analysis of single-cell RNA-seq and imaging data reveals alternative tuft cell origins in the gut. Cell systems. 2018 Jan 24;6(1):37-51.	
penncnvseq	2007	Genome research	NA	NA	NA	1601	NA		NA	NA	1.05	166	4	https://github.com/WGLab/PennCNV	Wang K, Li M, Hadley D, Liu R, Glessner J, Grant SF, Hakonarson H, Bucan M. PennCNV: an integrated hidden Markov model designed for high-resolution copy number variation detection in whole-genome SNP genotyping data. Genome research. 2007 Nov 1;17(11):1665-74.	
perm	2009	Bioinformatics	4.981	106	86	133	NA	Yinlin Chen:9.1	Ting Chen:44	1.83	1	697	1	https://github.com/tingchenlab/PerM	Chen, Yangho, Tade Souaiaia, and Ting Chen. "PerM: efficient mapping of short sequencing reads with periodic full sensitive spaced seeds." Bioinformatics 25.19 (2009): 2514-2521.	
phenopath	2017	bioRxiv	NA	NA	NA	2	NA		Christopher Yau:26	1.86	1	62	5	https://github.com/kieranrcampbell/phenopath	Campbell K, Yau C. Uncovering genomic trajectories with heterogeneous genetic and environmental backgrounds across single-cells and populations. bioRxiv. 2017 Jan 1:159913.	
phmmer	2011	Nucleic acids research	NA	NA	NA	3043	NA		Sean R. Eddy:91	3.03	3.31	1746	8	https://github.com/EddyRivasLab/hmmer	Finn RD, Clements J, Eddy SR. HMMER web server: interactive sequence similarity searching. Nucleic acids research. 2011 May 18;39(suppl_2):W29-37.	
phylonetft	2008	BMC bioinformatics	2.576	74	107	299	Cuong Van Than:10; Luay Nakhleh:29	Cuong Van Than:1.1; Luay Nakhleh:2.0	Cuong Van Than:11; Luay Nakhleh:44	0.79; 2.32	1	2	1	https://github.com/phylonet/PhyloNet	Than, Cuong, Derek Ruths, and Luay Nakhleh. "PhyloNet: a software package for analyzing and reconstructing reticulate evolutionary relationships." BMC bioinformatics 9.1 (2008): 322.	
phylopythias	2007; 2011	Nature methods 	32.072	125	398; 81	540	Alice Carolyn McHardy:32; Isidore Rigoutsos:50	Alice Carolyn McHardy:2.67; Isidore Rigoutsos:2.5	Alice Carolyn McHardy:47; Isidore Rigoutsos:64	2.76; 1.83	1	NA	NA	NA	McHardy, A. C., Martín, H. G., Tsirigos, A., Hugenholtz, P., & Rigoutsos, I. (2007). Accurate phylogenetic classification of variable-length DNA fragments. Nature methods, 4(1), 63-72.; Patil, K. R., Haider, P., Pope, P. B., Turnbaugh, P. J., Morrison, M., Scheffer, T., & McHardy, A. C. (2011). Taxonomic metagenome sequence assignment with structured output models. Nature methods, 8(3), 191-192.	
phylosift	2014	PeerJ	NA	NA	NA	445	NA		Aaron Darling:41	2.28	1	1549	8	https://github.com/gjospin/PhyloSift	Darling AE, Jospin G, Lowe E, Matsen IV FA, Bik HM, Eisen JA. PhyloSift: phylogenetic analysis of genomes and metagenomes. PeerJ. 2014 Jan 9;2:e243.	
phymmbl	2009	Nature methods	32.072	125	305	519	NA	NA	NA	NA	1	NA	NA	NA	Brady, A., & Salzberg, S. L. (2009). Phymm and PhymmBL: metagenomic phylogenetic classification with interpolated Markov models. Nature methods, 6(9), 673-676.	
phytocrispex	2016	BMC Bioinformatics	NA	NA	NA	35	NA		Leila TIRICHINE:23	0.92	1	NA	NA	NA	Rastogi A, Murik O, Bowler C, Tirichine L. PhytoCRISP-Ex: A web-based and stand-alone application to find specific target sequences for CRISPR/CAS editing. BMC Bioinformatics. 2016;17(1):1–4.	
pidc	2017	Cell systems	NA	NA	NA	149	NA		Ann Babtie:13	1.18	1	7	1	https://github.com/Tchanders/network_inference_tutorials	Chan TE, Stumpf MP, Babtie AC. Gene regulatory network inference from single-cell data using multivariate information measures. Cell systems. 2017 Sep 27;5(3):251-67.	
piler	2005	Bioinformatics	4.981	106	231	424	Robert C. Edgar:23	Robert C. Edgar:2.09	Robert C. Edgar:38	2.11	1	NA	NA	NA	Edgar, Robert C., and Eugene W. Myers. "PILER: identification and classification of genomic repeats." Bioinformatics 21.suppl 1 (2005): i152-i158.	
pindel	2009	Bioinformatics	NA	NA	NA	1609	NA		Zemin Ning:45	1.73	1	697	11	https://github.com/genome/pindel	Ye K, Schulz MH, Long Q, Apweiler R, Ning Z. Pindel: a pattern growth approach to detect break points of large deletions and medium sized insertions from paired-end short reads. Bioinformatics. 2009 Nov 1;25(21):2865-71.	
pizzly	2017	bioRxiv	NA	NA	NA	4	NA		Lior Pachter:66	2.87	1	33	2	https://github.com/pmelsted/pizzly	Melsted P, Hateley S, Joseph IC, Pimentel H, Bray N, Pachter L. Fusion detection and quantification by pseudoalignment. bioRxiv. 2017 Jan 1:166322.	
plink	2015	Gigascience	NA	NA	NA	3211	NA		NA	NA	2.3	3582	13	https://github.com/chrchang/plink-ng	Chang CC, Chow CC, Tellier LC, Vattikuti S, Purcell SM, Lee JJ. Second-generation PLINK: rising to the challenge of larger and richer datasets. Gigascience. 2015 Dec 1;4(1):s13742-015.	
poa	2002	Bioinformatics	4.981	106	553	765	NA	NA	NA	NA	1	NA	NA	NA	Lee, Christopher, Catherine Grasso, and Mark F. Sharlow. "Multiple sequence alignment using partial order graphs." Bioinformatics 18, no. 3 (2002): 452-464.	
pollux	2015	BMC bioinformatics	NA	NA	NA	34	NA		Brendan McConkey:34	1.21	1.02	6	1	https://github.com/emarinier/pollux	Marinier E, Brown DG, McConkey BJ. Pollux: platform independent error correction of single and mixed genomes. BMC bioinformatics. 2015 Dec 1;16(1):10.	
poy	NA	NA	NA	NA	55	65	Ward Wheeler:60	Ward Wheeler:2.61	Ward Wheeler:73	2.09	1	NA	NA	NA	Gladstein, D. S., & Wheeler, W. C. (1997). POY: The optimization of alignment characters. American Museum of Natural History, New York.	
poystar	NA	NA	NA	NA	55	65	Ward Wheeler:60	Ward Wheeler:2.61	Ward Wheeler:73	2.09	1	NA	NA	NA	Gladstein, D. S., & Wheeler, W. C. (1997). POY: The optimization of alignment characters. American Museum of Natural History, New York.	
ppcor	2015	Communications for statistical applications and methods	NA	NA	NA	335	NA		NA	NA	NA	NA	NA	NA	Kim S. ppcor: an R package for a fast calculation to semi-partial correlation coefficients. Communications for statistical applications and methods. 2015 Nov;22(6):665.	
